"","BldgType","SalePrice","YearBuilt"
"1","1Fam",208500,2003
"2","1Fam",181500,1976
"3","1Fam",223500,2001
"4","1Fam",140000,1915
"5","1Fam",250000,2000
"6","1Fam",143000,1993
"7","1Fam",307000,2004
"8","1Fam",200000,1973
"9","1Fam",129900,1931
"10","2fmCon",118000,1939
"11","1Fam",129500,1965
"12","1Fam",345000,2005
"13","1Fam",144000,1962
"14","1Fam",279500,2006
"15","1Fam",157000,1960
"16","1Fam",132000,1929
"17","1Fam",149000,1970
"18","Duplex",90000,1967
"19","1Fam",159000,2004
"20","1Fam",139000,1958
"21","1Fam",325300,2005
"22","1Fam",139400,1930
"23","1Fam",230000,2002
"24","TwnhsE",129900,1976
"25","1Fam",154000,1968
"26","1Fam",256300,2007
"27","1Fam",134800,1951
"28","1Fam",306000,2007
"29","1Fam",207500,1957
"30","1Fam",68500,1927
"31","1Fam",40000,1920
"32","1Fam",149350,1966
"33","1Fam",179900,2007
"34","1Fam",165500,1959
"35","TwnhsE",277500,2005
"36","1Fam",309000,2004
"37","1Fam",145000,1994
"38","1Fam",153000,1954
"39","1Fam",109000,1953
"40","Duplex",82000,1955
"41","1Fam",160000,1965
"42","1Fam",170000,1959
"43","1Fam",144000,1983
"44","1Fam",130250,1975
"45","1Fam",141000,1959
"46","TwnhsE",319900,2005
"47","1Fam",239686,2003
"48","1Fam",249700,2006
"49","2fmCon",113000,1920
"50","1Fam",127000,1966
"51","1Fam",177000,1997
"52","1Fam",114500,1934
"53","Duplex",110000,1963
"54","1Fam",385000,1981
"55","1Fam",130000,1955
"56","1Fam",180500,1964
"57","Twnhs",172500,1999
"58","1Fam",196500,2004
"59","1Fam",438780,2006
"60","1Fam",124900,1972
"61","1Fam",158000,2004
"62","1Fam",101000,1920
"63","TwnhsE",202500,2006
"64","1Fam",140000,1921
"65","1Fam",219500,1997
"66","1Fam",317000,2004
"67","1Fam",180000,1970
"68","1Fam",226000,2003
"69","1Fam",80000,1945
"70","1Fam",225000,1953
"71","1Fam",244000,1973
"72","1Fam",129500,1982
"73","1Fam",185000,1998
"74","1Fam",144900,1954
"75","1Fam",107400,1915
"76","Twnhs",91000,1973
"77","1Fam",135750,1956
"78","1Fam",127000,1948
"79","Duplex",136500,1968
"80","1Fam",110000,1910
"81","1Fam",193500,1968
"82","TwnhsE",153500,1998
"83","1Fam",245000,2007
"84","1Fam",126500,1960
"85","1Fam",168500,1995
"86","1Fam",260000,1991
"87","1Fam",174000,2005
"88","TwnhsE",164500,2009
"89","1Fam",85000,1915
"90","1Fam",123600,1994
"91","1Fam",109900,1950
"92","1Fam",98600,1961
"93","1Fam",163500,1921
"94","2fmCon",133900,1910
"95","1Fam",204750,1997
"96","1Fam",185000,1993
"97","1Fam",214000,1999
"98","1Fam",94750,1965
"99","1Fam",83000,1920
"100","1Fam",128950,1959
"101","1Fam",205000,1977
"102","1Fam",178000,1985
"103","Duplex",118964,1979
"104","1Fam",198900,2009
"105","1Fam",169500,1931
"106","1Fam",250000,2003
"107","1Fam",100000,1885
"108","1Fam",115000,1948
"109","1Fam",115000,1919
"110","1Fam",190000,1977
"111","1Fam",136900,1954
"112","1Fam",180000,2000
"113","1Fam",383970,2007
"114","1Fam",217000,1953
"115","1Fam",259500,1945
"116","TwnhsE",176000,1999
"117","1Fam",139000,1962
"118","1Fam",155000,2006
"119","1Fam",320000,1990
"120","1Fam",163990,2005
"121","1Fam",180000,1969
"122","1Fam",100000,1939
"123","1Fam",136000,1958
"124","TwnhsE",153900,1993
"125","1Fam",181000,1979
"126","2fmCon",84500,1935
"127","TwnhsE",128000,1976
"128","1Fam",87000,1930
"129","1Fam",155000,1966
"130","1Fam",150000,1958
"131","1Fam",226000,1966
"132","1Fam",244000,2000
"133","1Fam",150750,1959
"134","1Fam",220000,2001
"135","1Fam",180000,1968
"136","1Fam",174000,1970
"137","1Fam",143000,1967
"138","Duplex",171000,1988
"139","1Fam",230000,1999
"140","1Fam",231500,1997
"141","1Fam",115000,1971
"142","1Fam",260000,2005
"143","1Fam",166000,1952
"144","1Fam",204000,1999
"145","Duplex",125000,1963
"146","Twnhs",130000,2004
"147","1Fam",105000,1931
"148","1Fam",222500,2001
"149","1Fam",141000,2004
"150","1Fam",115000,1936
"151","1Fam",122000,1975
"152","1Fam",372402,2007
"153","1Fam",190000,1971
"154","1Fam",235000,1960
"155","1Fam",125000,1923
"156","1Fam",79000,1924
"157","1Fam",109500,1950
"158","1Fam",269500,2009
"159","1Fam",254900,2004
"160","1Fam",320000,2005
"161","1Fam",162500,1984
"162","1Fam",412500,2003
"163","1Fam",220000,2005
"164","1Fam",103200,1956
"165","1Fam",152000,1926
"166","2fmCon",127500,1940
"167","1Fam",190000,1955
"168","1Fam",325624,2007
"169","1Fam",183500,2004
"170","1Fam",228000,1981
"171","1Fam",128500,1941
"172","1Fam",215000,1960
"173","TwnhsE",239000,1987
"174","1Fam",163000,1961
"175","1Fam",184000,1986
"176","1Fam",243000,1950
"177","1Fam",211000,1988
"178","1Fam",172500,1958
"179","1Fam",501837,2008
"180","1Fam",100000,1923
"181","Twnhs",177000,2000
"182","1Fam",200100,1920
"183","1Fam",120000,1957
"184","1Fam",200000,2003
"185","1Fam",127000,1908
"186","1Fam",475000,1892
"187","1Fam",173000,1990
"188","1Fam",135000,1916
"189","Duplex",153337,1979
"190","TwnhsE",286000,2001
"191","1Fam",315000,1932
"192","1Fam",184000,1972
"193","1Fam",192000,1999
"194","Twnhs",130000,2004
"195","1Fam",127000,1972
"196","Twnhs",148500,1976
"197","1Fam",311872,2007
"198","1Fam",235000,1918
"199","1Fam",104000,1912
"200","1Fam",274900,2004
"201","1Fam",140000,2003
"202","1Fam",171500,1977
"203","1Fam",112000,1924
"204","TwnhsE",149000,2004
"205","1Fam",110000,1947
"206","1Fam",180500,1990
"207","1Fam",143900,1962
"208","1Fam",141000,1960
"209","1Fam",277000,1988
"210","1Fam",145000,1964
"211","1Fam",98000,1925
"212","1Fam",186000,2009
"213","1Fam",252678,2009
"214","1Fam",156000,1995
"215","1Fam",161750,1977
"216","1Fam",134450,1957
"217","1Fam",210000,2004
"218","1Fam",107000,1925
"219","1Fam",311500,1939
"220","TwnhsE",167240,2005
"221","1Fam",204900,2006
"222","1Fam",200000,2002
"223","1Fam",179900,1975
"224","1Fam",97000,1971
"225","1Fam",386250,2003
"226","Twnhs",112000,1971
"227","1Fam",290000,1995
"228","Twnhs",106000,1970
"229","1Fam",125000,1967
"230","TwnhsE",192500,2005
"231","1Fam",148000,1959
"232","1Fam",403000,1995
"233","Twnhs",94500,1972
"234","1Fam",128200,1976
"235","1Fam",216500,2002
"236","TwnhsE",89500,1971
"237","1Fam",185500,2004
"238","1Fam",194500,1993
"239","1Fam",318000,2007
"240","1Fam",113000,1945
"241","1Fam",262500,2008
"242","1Fam",110500,1945
"243","1Fam",79000,1900
"244","TwnhsE",120000,1980
"245","1Fam",205000,1994
"246","1Fam",241500,1988
"247","2fmCon",137000,1910
"248","1Fam",140000,1954
"249","1Fam",180000,2003
"250","1Fam",277000,1958
"251","1Fam",76500,1940
"252","TwnhsE",235000,2006
"253","1Fam",173000,2004
"254","1Fam",158000,1964
"255","1Fam",145000,1957
"256","1Fam",230000,1999
"257","1Fam",207500,2003
"258","1Fam",220000,2006
"259","1Fam",231500,2001
"260","1Fam",97000,1956
"261","1Fam",176000,1962
"262","1Fam",276000,2007
"263","1Fam",151000,1977
"264","1Fam",130000,1929
"265","1Fam",73000,1925
"266","1Fam",175500,1981
"267","1Fam",185000,1997
"268","1Fam",179500,1939
"269","1Fam",120500,1940
"270","1Fam",148000,1976
"271","1Fam",266000,2006
"272","1Fam",241500,1954
"273","1Fam",290000,1999
"274","1Fam",139000,1958
"275","1Fam",124500,1982
"276","1Fam",205000,1925
"277","1Fam",201000,2003
"278","1Fam",141000,1951
"279","1Fam",415298,2006
"280","1Fam",192000,1977
"281","1Fam",228500,1989
"282","1Fam",185000,2006
"283","Twnhs",207500,2007
"284","1Fam",244600,2008
"285","TwnhsE",179200,1992
"286","TwnhsE",164700,2006
"287","1Fam",159000,1962
"288","1Fam",88000,1971
"289","1Fam",122000,1967
"290","1Fam",153575,1915
"291","1Fam",233230,2006
"292","2fmCon",135900,1912
"293","1Fam",131000,1949
"294","1Fam",235000,1977
"295","1Fam",167000,1953
"296","1Fam",142500,1984
"297","1Fam",152000,1950
"298","1Fam",239000,1997
"299","1Fam",175000,1968
"300","1Fam",158500,1950
"301","2fmCon",157000,1953
"302","1Fam",267000,1998
"303","1Fam",205000,2001
"304","1Fam",149900,1972
"305","1Fam",295000,1880
"306","1Fam",305900,2004
"307","1Fam",225000,1990
"308","1Fam",89500,1920
"309","1Fam",82500,1940
"310","1Fam",360000,2003
"311","1Fam",165600,1993
"312","1Fam",132000,1948
"313","2fmCon",119900,1939
"314","1Fam",375000,1965
"315","1Fam",178000,1925
"316","1Fam",188500,2004
"317","1Fam",260000,1980
"318","1Fam",270000,2006
"319","1Fam",260000,1993
"320","1Fam",187500,1980
"321","1Fam",342643,2006
"322","1Fam",354000,2004
"323","1Fam",301000,1986
"324","1Fam",126175,1955
"325","1Fam",242000,1967
"326","1Fam",87000,1941
"327","TwnhsE",324000,1993
"328","1Fam",145250,1960
"329","1Fam",214500,1916
"330","1Fam",78000,1920
"331","Duplex",119000,1964
"332","1Fam",139000,1958
"333","1Fam",284000,2003
"334","TwnhsE",207000,2004
"335","1Fam",192000,1998
"336","2fmCon",228950,1965
"337","1Fam",377426,2005
"338","1Fam",214000,2002
"339","1Fam",202500,1984
"340","1Fam",155000,1958
"341","1Fam",202900,2002
"342","1Fam",82000,1950
"343","Duplex",87500,1949
"344","TwnhsE",266000,2005
"345","TwnhsE",85000,1976
"346","1Fam",140200,1939
"347","1Fam",151500,1960
"348","1Fam",157500,1960
"349","Twnhs",154000,2003
"350","1Fam",437154,2005
"351","TwnhsE",318061,2007
"352","1Fam",190000,1986
"353","1Fam",95000,1941
"354","1Fam",105900,1928
"355","1Fam",140000,1940
"356","1Fam",177500,1995
"357","1Fam",173000,1992
"358","TwnhsE",134000,1976
"359","1Fam",130000,1958
"360","1Fam",280000,1998
"361","1Fam",156000,1978
"362","1Fam",145000,1940
"363","1Fam",198500,2003
"364","Twnhs",118000,1972
"365","1Fam",190000,1976
"366","1Fam",147000,1920
"367","1Fam",159000,1963
"368","1Fam",165000,1962
"369","1Fam",132000,1954
"370","1Fam",162000,1959
"371","1Fam",172400,2000
"372","1Fam",134432,1959
"373","TwnhsE",125000,1984
"374","1Fam",123000,1953
"375","1Fam",219500,2003
"376","1Fam",61000,1922
"377","1Fam",148000,1996
"378","1Fam",340000,2004
"379","1Fam",394432,2010
"380","1Fam",179000,2000
"381","1Fam",127000,1924
"382","1Fam",187750,2006
"383","1Fam",213500,2006
"384","1Fam",76000,1928
"385","1Fam",240000,1992
"386","TwnhsE",192000,2004
"387","1Fam",81000,1910
"388","1Fam",125000,1976
"389","1Fam",191000,1999
"390","1Fam",426000,2007
"391","1Fam",119000,1900
"392","1Fam",215000,2001
"393","1Fam",106500,1959
"394","1Fam",100000,1941
"395","1Fam",109000,1940
"396","1Fam",129000,1956
"397","1Fam",123000,1972
"398","1Fam",169500,1962
"399","1Fam",67000,1920
"400","1Fam",241000,2006
"401","TwnhsE",245500,1996
"402","1Fam",164990,2005
"403","1Fam",108000,1940
"404","1Fam",258000,1998
"405","1Fam",168000,1995
"406","1Fam",150000,1976
"407","1Fam",115000,1936
"408","1Fam",177000,1915
"409","1Fam",280000,2006
"410","1Fam",339750,2007
"411","1Fam",60000,1958
"412","2fmCon",145000,1955
"413","1Fam",222000,2009
"414","1Fam",115000,1927
"415","1Fam",228000,1993
"416","1Fam",181134,2007
"417","1Fam",149500,1978
"418","1Fam",239000,1918
"419","1Fam",126000,1940
"420","1Fam",142000,1968
"421","Duplex",206300,1997
"422","1Fam",215000,1977
"423","1Fam",113000,1954
"424","1Fam",315000,1998
"425","1Fam",139000,1956
"426","1Fam",135000,1946
"427","1Fam",275000,1989
"428","1Fam",109008,1957
"429","1Fam",195400,2007
"430","1Fam",175000,1988
"431","Twnhs",85400,1971
"432","1Fam",79900,1920
"433","TwnhsE",122500,1971
"434","1Fam",181000,1997
"435","Twnhs",81000,1972
"436","1Fam",212000,1996
"437","1Fam",116000,1920
"438","1Fam",119000,1926
"439","1Fam",90350,1913
"440","1Fam",110000,1920
"441","1Fam",555000,2008
"442","Duplex",118000,1955
"443","1Fam",162900,1930
"444","TwnhsE",172500,2006
"445","1Fam",210000,1994
"446","1Fam",127500,1956
"447","1Fam",190000,1966
"448","1Fam",199900,1998
"449","1Fam",119500,1937
"450","1Fam",120000,1948
"451","1Fam",110000,1930
"452","1Fam",280000,1975
"453","1Fam",204000,1996
"454","1Fam",210000,2008
"455","Duplex",188000,1976
"456","1Fam",175500,1973
"457","1Fam",98000,1916
"458","1Fam",256000,1954
"459","1Fam",161000,1925
"460","1Fam",110000,1950
"461","1Fam",263435,2009
"462","1Fam",155000,1936
"463","1Fam",62383,1965
"464","1Fam",188700,1934
"465","1Fam",124000,1978
